WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
AFR,YR,SH,FLU_EST_AFR,MUS,Mauritius,10/04/2023,2023,15,9/04/2023,2023,15,NOTDEFINED,109.0,109.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,3.0,,0.0,0.0,3.0,3.0,106.0,,0.0,,,,,,3.0,3.0,,,,MU,202315,202315
AFR,YR,SH,FLU_EST_AFR,RWA,Rwanda,19/06/2023,2023,25,18/06/2023,2023,25,SENTINEL,12.0,,1.0,,0.0,0.0,0.0,0.0,,,,1.0,,,0.0,,0.0,0.0,0.0,1.0,11.0,,,,,,,,,,,,,RW,202325,202325
AFR,YR,NH,FLU_WST_AFR,CIV,C??te d'Ivoire,6/05/2013,2013,19,5/05/2013,2013,19,NOTDEFINED,31.0,31.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,3.0,3.0,3.0,,3.0,,,,,,,,,"Parainfluenza virus 4=1, Parainfluenza virus 3=1, Respiratory Syncytial Virus=1, Corononavirus229E=4, Coronavirus OC43=1",,,CI,201319,201319
AFR,YR,NH,FLU_WST_AFR,GHA,Ghana,20/05/2024,2024,21,19/05/2024,2024,21,SENTINEL,173.0,173.0,0.0,,9.0,0.0,0.0,0.0,,0.0,,9.0,,,4.0,,0.0,0.0,4.0,13.0,160.0,,,,,,,,,,,,,GH,202421,202421
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,7/07/2014,2014,28,6/07/2014,2014,28,NOTDEFINED,88.0,88.0,0.0,0.0,21.0,0.0,,0.0,,0.0,,21.0,,,0.0,,0.0,18.0,18.0,39.0,,6.0,,,,,,,,,"HPIV3, Adeno, RSV",,,BD,201428,201428
AFR,YR,SH,FLU_MID_AFR,COD,Democratic Republic of the Congo,15/02/2010,2010,7,14/02/2010,2010,7,NOTDEFINED,48.0,48.0,0.0,0.0,10.0,0.0,,0.0,,0.0,,10.0,,,0.0,,0.0,0.0,0.0,10.0,,1.0,,,,,,,,,,,,CD,201007,201007
EUR,NH,NH,FLU_SW_EUR,MLT,Malta,12/12/2016,2016,50,11/12/2016,2016,50,NONSENTINEL,80.0,,0.0,0.0,1.0,,,0.0,,,,1.0,,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,11.0,,,,,MT,201650,201650
AMR,YR,NH,FLU_CNT_AMC,HND,Honduras,16/01/2012,2012,3,15/01/2012,2012,3,NOTDEFINED,22.0,23.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,1.0,,,0.0,,0.0,0.0,0.0,1.0,,3.0,,,,,,,,,PIV3=1,,,HN,201203,201203
EUR,NH,NH,FLU_NTH_EUR,X11,"United Kingdom, Northern Ireland",18/07/2016,2016,29,17/07/2016,2016,29,SENTINEL,1.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,XI,201629,201629
EUR,NH,NH,FLU_SW_EUR,NLD,Netherlands (Kingdom of the),3/08/2015,2015,32,2/08/2015,2015,31,SENTINEL,1.0,,0.0,0.0,1.0,,,0.0,,,,1.0,,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,0.0,,,,,NL,201532,201531
AFR,YR,SH,FLU_EST_AFR,TZA,United Republic of Tanzania,28/09/2009,2009,40,27/09/2009,2009,40,NOTDEFINED,94.0,94.0,30.0,1.0,0.0,0.0,,0.0,,0.0,,31.0,,,0.0,,0.0,0.0,0.0,31.0,,4.0,,,,,,,,,,,,TZ,200940,200940
AFR,YR,NH,FLU_MID_AFR,CMR,Cameroon,15/04/2019,2019,16,14/04/2019,2019,16,NOTDEFINED,17.0,17.0,13.0,,0.0,0.0,,0.0,,,,13.0,,,0.0,,0.0,0.0,0.0,13.0,,1.0,,,,,,,1.0,,,,,CM,201916,201916
EUR,NH,NH,FLU_WST_ASIA,ISR,Israel,29/12/2008,2009,1,28/12/2008,2009,1,NOTDEFINED,35.0,,,4.0,,,,,,,,4.0,,,,,,2.0,2.0,6.0,,3.0,,,,,,,,,RSV A and B,,,IL,200901,200901
WPR,NH,NH,FLU_EST_ASIA,MNG,Mongolia,7/02/2022,2022,6,6/02/2022,2022,6,NOTDEFINED,132.0,132.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0,1.0,,,0.0,,0.0,0.0,0.0,1.0,,,4.0,1.0,10.0,0.0,3.0,9.0,19.0,,,,,MN,202206,202206
AMR,YR,NH,FLU_CNT_AMC,MTQ,Martinique,2/02/2009,2009,6,1/02/2009,2009,6,NOTDEFINED,5.0,5.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,3.0,,,0.0,,0.0,0.0,0.0,3.0,,1.0,,,,,,,,,,,,MQ,200906,200906
WPR,YR,NH,FLU_SE_ASIA,MYS,Malaysia,30/12/2013,2014,1,29/12/2013,2014,1,NOTDEFINED,14.0,14.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,1.0,,,0.0,,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,"4 HRSV, 1 HMPV",,,MY,201401,201401
AFR,YR,NH,FLU_WST_AFR,NGA,Nigeria,2/12/2019,2019,49,1/12/2019,2019,49,NOTDEFINED,28.0,28.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,28.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,NG,201949,201949
EUR,NH,NH,FLU_SW_EUR,PRT,Portugal,19/02/2024,2024,8,18/02/2024,2024,8,SENTINEL,9.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,PT,202408,202408
EUR,NH,NH,FLU_EST_EUR,XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),9/01/2023,2023,2,8/01/2023,2023,2,NONSENTINEL,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,XK,202302,202302
AMR,YR,NH,FLU_CNT_AMC,CYM,Cayman Islands,13/02/2023,2023,7,12/02/2023,2023,7,SENTINEL,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,KY,202307,202307
EUR,NH,NH,FLU_NTH_EUR,FIN,Finland,17/12/2001,2001,51,16/12/2001,2001,51,NOTDEFINED,,,,0.0,0.0,,,1.0,,,,1.0,,,,,,0.0,0.0,1.0,,3.0,,,,,,,,,,,sporadic A,FI,200151,200151
AFR,YR,SH,FLU_EST_AFR,MDG,Madagascar,4/10/2021,2021,40,3/10/2021,2021,40,SENTINEL,38.0,38.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,9.0,,0.0,0.0,9.0,9.0,29.0,4.0,,,,,,,,0.0,,,,MG,202140,202140
EUR,NH,NH,FLU_EST_EUR,ROU,Romania,2/11/2015,2015,45,1/11/2015,2015,44,SENTINEL,3.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,RO,201545,201544
AFR,NH,NH,FLU_NRT_AFR,DZA,Algeria,29/11/2021,2021,48,28/11/2021,2021,48,NOTDEFINED,39.0,39.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,,9.0,,,0.0,,0.0,0.0,0.0,9.0,30.0,,,,,,,,,0.0,,,,DZ,202148,202148
WPR,YR,NH,FLU_SE_ASIA,KHM,Cambodia,15/06/2015,2015,25,14/06/2015,2015,24,NOTDEFINED,27.0,27.0,1.0,0.0,7.0,0.0,,0.0,,0.0,,8.0,,,0.0,,0.0,0.0,0.0,8.0,,5.0,,,,,,,,,,,,KH,201525,201524
SEAR,YR,NH,FLU_SE_ASIA,MMR,Myanmar,13/03/2023,2023,11,12/03/2023,2023,11,SENTINEL,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,3.0,,,,,,,,,,,,MM,202311,202311
EUR,NH,NH,FLU_CNT_ASIA,TKM,Turkmenistan,8/05/2023,2023,19,7/05/2023,2023,19,NONSENTINEL,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM,202319,202319
EUR,NH,NH,FLU_CNT_ASIA,UZB,Uzbekistan,13/02/2017,2017,7,12/02/2017,2017,7,SENTINEL,3.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,UZ,201707,201707
EUR,NH,NH,FLU_SW_EUR,ALB,Albania,24/04/2023,2023,17,23/04/2023,2023,17,NONSENTINEL,65.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,AL,202317,202317
